Date,Merchant,Category,Amount,Account,Type
2026-01-01,Company Payroll,Income,3200.00,Chase Checking,income
2026-01-01,Luxury Apartments,Housing,1850.00,Chase Checking,expense
2026-01-02,Starbucks,Food & Drink,6.50,Amex Gold,expense
2026-01-02,Uber,Transportation,22.40,Amex Gold,expense
2026-01-03,Whole Foods,Groceries,92.15,Chase Checking,expense
2026-01-03,Netflix,Subscriptions,15.99,Amex Gold,expense
2026-01-04,Chipotle,Food & Drink,14.20,Amex Gold,expense
2026-01-04,Apple Storage,Subscriptions,2.99,Amex Gold,expense
2026-01-05,Shell Gas,Transportation,52.00,Amex Gold,expense
2026-01-05,Spotify,Subscriptions,9.99,Amex Gold,expense
2026-01-06,Amazon,Shopping,42.50,Amex Gold,expense
2026-01-07,Gym Co,Health,55.00,Chase Checking,expense
2026-01-08,Blue Bottle,Food & Drink,7.00,Amex Gold,expense
2026-01-09,Trader Joes,Groceries,64.20,Chase Checking,expense
2026-01-10,Electric Bill,Utilities,145.00,Chase Checking,expense
2026-01-11,Uber Eats,Food & Drink,32.40,Amex Gold,expense
2026-01-12,Water Utility,Utilities,42.00,Chase Checking,expense
2026-01-13,CVS,Health,18.50,Chase Checking,expense
2026-01-14,Target,Shopping,124.00,Chase Checking,expense
2026-01-15,Company Payroll,Income,3200.00,Chase Checking,income
2026-01-15,Local Pub,Food & Drink,45.00,Amex Gold,expense
2026-01-16,Lyft,Transportation,18.00,Amex Gold,expense
2026-01-17,Whole Foods,Groceries,115.00,Chase Checking,expense
2026-01-18,HBO Max,Subscriptions,15.99,Amex Gold,expense
2026-01-19,Steam Games,Entertainment,59.99,Amex Gold,expense
2026-01-20,Internet Co,Utilities,80.00,Chase Checking,expense
2026-01-21,Starbucks,Food & Drink,6.50,Amex Gold,expense
2026-01-22,Gas Station,Transportation,48.00,Amex Gold,expense
2026-01-23,Nike,Shopping,130.00,Amex Gold,expense
2026-01-24,AMC Theater,Entertainment,28.00,Amex Gold,expense
2026-01-25,Brunch Spot,Food & Drink,38.00,Amex Gold,expense
2026-01-26,Amazon,Shopping,15.20,Amex Gold,expense
2026-01-27,Uber,Transportation,21.00,Amex Gold,expense
2026-01-28,Trader Joes,Groceries,55.40,Chase Checking,expense
2026-01-29,Starbucks,Food & Drink,6.50,Amex Gold,expense
2026-01-30,Italian Dinner,Food & Drink,85.00,Amex Gold,expense
2026-01-31,Interest Earned,Income,12.40,Chase Checking,income
2026-02-01,Company Payroll,Income,3200.00,Chase Checking,income
2026-02-01,Luxury Apartments,Housing,1850.00,Chase Checking,expense
