Date,Merchant,Category,Amount,Account,Type
2026-01-01,TechCorp Payroll,Income,2850.00,Chase Checking,income
2026-01-01,Central Management,Housing,1650.00,Chase Checking,expense
2026-01-02,Starbucks,Food & Drink,6.45,Amex Gold,expense
2026-01-02,Uber,Transportation,18.50,Amex Gold,expense
2026-01-03,Whole Foods,Groceries,92.30,Chase Checking,expense
2026-01-03,Amazon,Shopping,24.99,Amex Gold,expense
2026-01-04,Chipotle,Food & Drink,15.20,Amex Gold,expense
2026-01-04,Netflix,Subscriptions,15.99,Amex Gold,expense
2026-01-05,Shell Gas,Transportation,45.00,Amex Gold,expense
2026-01-05,Spotify,Subscriptions,9.99,Amex Gold,expense
2026-01-06,Local Coffee Shop,Food & Drink,5.50,Amex Gold,expense
2026-01-06,Target,Shopping,64.12,Chase Checking,expense
2026-01-07,Steam Games,Entertainment,59.99,Amex Gold,expense
2026-01-07,Gym Membership,Health,45.00,Chase Checking,expense
2026-01-08,Blue Bottle Coffee,Food & Drink,7.25,Amex Gold,expense
2026-01-08,Uber,Transportation,12.40,Amex Gold,expense
2026-01-09,Trader Joes,Groceries,78.45,Chase Checking,expense
2026-01-10,Internet Provider,Utilities,85.00,Chase Checking,expense
2026-01-10,Electric Company,Utilities,112.30,Chase Checking,expense
2026-01-11,Starbucks,Food & Drink,6.45,Amex Gold,expense
2026-01-11,Apple Services,Subscriptions,2.99,Amex Gold,expense
2026-01-12,DoorDash - Sushi,Food & Drink,42.50,Amex Gold,expense
2026-01-12,Chevron Gas,Transportation,38.00,Amex Gold,expense
2026-01-13,CVS Pharmacy,Health,22.15,Chase Checking,expense
2026-01-14,Amazon,Shopping,12.99,Amex Gold,expense
2026-01-15,TechCorp Payroll,Income,2850.00,Chase Checking,income
2026-01-15,Local Bistro,Food & Drink,35.00,Amex Gold,expense
2026-01-16,Lyft,Transportation,21.20,Amex Gold,expense
2026-01-16,Starbucks,Food & Drink,6.45,Amex Gold,expense
2026-01-17,Whole Foods,Groceries,105.20,Chase Checking,expense
2026-01-18,Disney+,Subscriptions,13.99,Amex Gold,expense
2026-01-18,Nintendo eShop,Entertainment,19.99,Amex Gold,expense
2026-01-19,Gas Station,Transportation,42.00,Amex Gold,expense
2026-01-19,Lunch Spot,Food & Drink,14.80,Amex Gold,expense
2026-01-20,Phone Bill,Utilities,75.00,Chase Checking,expense
2026-01-21,Nike Store,Shopping,110.00,Amex Gold,expense
2026-01-21,Starbucks,Food & Drink,6.45,Amex Gold,expense
2026-01-22,Uber,Transportation,15.75,Amex Gold,expense
2026-01-23,Trader Joes,Groceries,62.30,Chase Checking,expense
2026-01-24,Movie Theater,Entertainment,32.00,Amex Gold,expense
2026-01-25,Bakery,Food & Drink,12.50,Amex Gold,expense
2026-01-26,Amazon,Shopping,54.20,Amex Gold,expense
2026-01-27,Starbucks,Food & Drink,6.45,Amex Gold,expense
2026-01-28,Uber,Transportation,28.40,Amex Gold,expense
2026-01-29,Whole Foods,Groceries,88.10,Chase Checking,expense
2026-01-30,Dine-in Italian,Food & Drink,65.00,Amex Gold,expense
2026-01-31,Cash Bonus,Income,500.00,Chase Checking,income
2026-02-01,TechCorp Payroll,Income,2850.00,Chase Checking,income
2026-02-01,Central Management,Housing,1650.00,Chase Checking,expense
2026-02-02,Starbucks,Food & Drink,6.45,Amex Gold,expense
2026-02-02,Uber,Transportation,14.20,Amex Gold,expense
2026-02-02,Netflix,Subscriptions,15.99,Amex Gold,expense
2026-02-03,Whole Foods,Groceries,112.45,Chase Checking,expense
2026-02-03,Amazon,Shopping,18.50,Amex Gold,expense
2026-02-04,Chipotle,Food & Drink,16.40,Amex Gold,expense
2026-02-04,Spotify,Subscriptions,9.99,Amex Gold,expense
2026-02-05,Shell Gas,Transportation,48.00,Amex Gold,expense
2026-02-05,Starbucks,Food & Drink,6.45,Amex Gold,expense
2026-02-06,Blue Bottle Coffee,Food & Drink,7.25,Amex Gold,expense
2026-02-01,Gym Membership,Health,45.00,Chase Checking,expense
2026-01-05,Laundry,Utilities,15.00,Chase Checking,expense
